ampl,errCH1,freq,errCH2,V_in
0.4320000112,0.1108078419942549,10000.0,0.0168815689634509,3.0399999619
0.4720000029,0.1108078419942549,10826.36733874054,0.0180815687144509,3.0
0.5199999809,0.1096078431372549,11721.022975334794,0.0195215680544509,3.0399999619
0.5600000024,0.1108078419942549,12689.610031679234,0.0207215686994509,3.0
0.6240000129,0.1096078431372549,13738.237958832638,0.0226415690144509,3.0
0.6720000505,0.1108078419942549,14873.521072935118,0.0240815701424509,2.9600000381
0.7400000095,0.1084078442802548,16102.620275609392,0.0320039218536274,3.0399999619
0.7999999523,0.1096078431372549,17433.288221999872,0.0338039201376274,3.0399999619
0.8799999952,0.1096078431372549,18873.91822135096,0.0362039214246274,2.9600000381
0.9599999785,0.1096078431372549,20433.59717856944,0.0386039209236274,3.0
1.0799999237,0.1108078419942549,22122.1629107045,0.0422039192796274,3.0
1.1999999285,0.1084078442802548,23950.26619987486,0.0458039194236274,3.0
1.3399999142,0.1096078431372549,25929.437974046672,0.0500039189946274,2.9600000381
1.5,0.1084078442802548,28072.16203941176,0.0548039215686274,3.0
1.6599999666,0.1096078431372549,30391.95382313195,0.0596039205666274,2.9600000381
1.879999876,0.1084078442802548,32903.44562312671,0.0760078394172549,2.9600000381
2.0399999619,0.1084078442802548,35622.47890262444,0.0808078419942548,2.9600000381
2.3199999332,0.1084078442802548,38566.20421163472,0.0892078411332549,2.9600000381
2.5199999809,0.1084078442802548,41753.189365604005,0.0952078425642549,2.9600000381
2.7200000286,0.1072078454262549,45203.53656360241,0.1012078439952549,2.9600000381
2.7999999523,0.1084078442802548,48939.00918477499,0.1036078417062549,2.9600000381
2.7599999905,0.1072078454262549,52983.16906283713,0.1024078428522548,2.9600000381
2.5599999428,0.1084078442802548,57361.52510448681,0.0964078414212549,2.9600000381
2.3599998951,0.1084078442802548,62101.694189156166,0.0904078399902549,2.9600000381
2.0799999237,0.1084078442802548,67233.57536499335,0.0820078408482549,2.9600000381
1.7999999523,0.1084078442802548,72789.53843983146,0.0736078417062549,2.9600000381
1.6399999857,0.1084078442802548,78804.62815669904,0.0590039211396274,2.9600000381
1.439999938,0.1096078431372549,85316.78524172814,0.0530039197086274,2.9600000381
1.2799999714,0.1084078442802548,92367.08571873866,0.0482039207106274,3.0
1.1200000048,0.1108078419942549,100000.0,0.0434039217126274,3.0
